Text,X,Y,Z
지상 4층 평면도,602.1735924078212,42.238837005559105,0.0
반도체소자 및 회로 연구실,978.196289132978,348.5904280428301,0.0
전기전자공학부,990.6289131716879,343.304169154685,0.0
차세대반도체연구실,1038.5090675052018,348.5904280428301,0.0
전기전자공학부,1043.4820538692456,343.304169154685,0.0
인공지능 정보시스템 공학연구실 WISELAB,364.02425048634774,361.1704081713358,0.0
전기전자공학부,385.00831112339523,357.4394429016475,0.0
FL04,735.2341451199901,293.27597614291494,0.0
교수연구실,461.0229828220654,244.13226557623472,0.0
전기전자공학부,456.20413231157363,238.84598692201465,0.0
지능신호처리연구실,532.5294081142081,347.02256320061605,0.0
전기전자공학부,536.10311449048,343.29159793092776,0.0
PS실,694.3468328318164,383.7198035929858,0.0
세미나실2,764.143057775022,617.3569261268384,0.0
산업경영공학부,758.2351360592213,612.2296853127925,0.0
교수연구실,873.5791184753213,244.13226557623472,0.0
전기전자공학부,868.7603074969792,238.84598692201465,0.0
전기전자공학부 세미나실II,641.806944892285,711.0931096403505,0.0
전기전자공학부,653.7769637095886,705.9611249682831,0.0
ELEV실,772.3832972871427,336.7745846112286,0.0
초고주파연구실,311.01689487093756,347.02256320061605,0.0
전기전자공학부,311.01689487093756,343.29159793092776,0.0
용역대기실,834.8740599413841,349.2120908704856,0.0
ELEV실,691.8603396497948,327.45013634827114,0.0
세미나실1,764.143057775022,542.4334603695869,0.0
산업경영공학부,758.2351360592213,537.1471619492917,0.0
공과대학행정팀,758.2351360592213,705.9611249682831,0.0
공과대학장,763.0540261018633,695.393311517864,0.0
이동네트워크 및 통신연구실,338.6867513428775,347.02256320061605,0.0
전기전자공학부,348.63501693567537,343.29159793092776,0.0
학부행정실,686.111416242018,244.13226557623472,0.0
전기전자공학부,681.133527891352,238.84598692201465,0.0
PS실,649.1122490526487,504.6584549668598,0.0
PS실,649.1122490526487,569.6358491656484,0.0
교수연구실,948.5025051682718,244.13226557623472,0.0
전기전자공학부,943.6836941899305,238.84598692201465,0.0
전력망융합기술연구실,230.80481806260534,347.02256320061605,0.0
전기전자공학부,236.09188735982912,343.29159793092776,0.0
교수연구실,986.1233549513728,244.13226557623472,0.0
전기전자공학부,981.1454666007068,238.84598692201465,0.0
전기전자공학부 세미나실I,893.6303784967215,348.5904280428301,0.0
전기전자공학부,904.9787147202932,343.304169154685,0.0
PS실,774.8697904691643,377.1902783477547,0.0
디지털미디어연구실,495.06518471012083,347.02256320061605,0.0
전기전자공학부,498.64236991560887,343.29159793092776,0.0
PS실,847.7741121238219,310.81549182136564,0.0
교수연구실,311.0170529995383,244.13226557623472,0.0
융합연구원,311.0170529995383,238.84598692201465,0.0
교수연구실,348.63296126386604,244.13226557623472,0.0
전기전자공학부,343.65989583552204,238.84598692201465,0.0
무선통신네트워크연구실,266.5591178428066,347.02256320061605,0.0
전기전자공학부,273.5526714668506,343.29159793092776,0.0
차세대반도체연구실,420.1401771990124,347.02256320061605,0.0
전기전자공학부,423.5600244467841,343.29159793092776,0.0
통신신호처리연구실,570.1475697110959,347.02256320061605,0.0
전기전자공학부,573.5673378945673,343.29159793092776,0.0
PS실,652.3795022007254,310.9745296615398,0.0
교수연구실,1023.5850482978475,244.13226557623472,0.0
전기전자공학부,1018.7662373195067,238.84598692201465,0.0
교수연구실,236.09354771013662,244.13226557623472,0.0
전기전자공학부,231.27469719964472,238.84598692201465,0.0
디지털미디어연구실II,607.919511372184,347.02256320061605,0.0
전기전자공학부,612.2730289429072,343.29159793092776,0.0
교수연구실,761.0348819992696,244.13226557623472,0.0
전기전자공학부,756.2159919566278,238.84598692201465,0.0
전기전자공학부 교수라운지,745.1809084910814,467.35093700608627,0.0
전기전자공학부,758.2351360592213,462.2236961920403,0.0
교수연구실,498.6389306185434,244.13226557623472,0.0
전기전자공학부,493.66586519019927,238.84598692201465,0.0
교수연구실,611.0289521767428,244.13226557623472,0.0
전기전자공학부,606.2100621341008,238.84598692201465,0.0
교수연구실,911.0408118217964,244.13226557623472,0.0
전기전자공학부,906.2219217791544,238.84598692201465,0.0
교수연구실,386.0995170648138,244.13226557623472,0.0
전기전자공학부,381.28070608647204,238.84598692201465,0.0
교수연구실,536.1054073551907,244.13226557623472,0.0
전기전자공학부,531.2865963768489,238.84598692201465,0.0
영상처리연구실,461.024247850871,347.02256320061605,0.0
전기전자공학부,461.024247850871,343.29159793092776,0.0
교수연구실,798.4965753457452,244.13226557623472,0.0
전기전자공학부,793.6777643674031,238.84598692201465,0.0
교수연구실,273.5553201209125,244.13226557623472,0.0
전기전자공학부,268.7364696104207,238.84598692201465,0.0
교수연구실,423.56124994343946,244.13226557623472,0.0
전기전자공학부,418.7423994329477,238.84598692201465,0.0
교수연구실,836.1174251288451,244.13226557623472,0.0
전기전자공학부,831.1394577138791,238.84598692201465,0.0
교수연구실,573.5671797659666,244.13226557623472,0.0
전기전자공학부,568.7483687876248,238.84598692201465,0.0
전기전자공학부 회의실,645.5366451331674,465.17767681601583,0.0
전기전자공학부,653.7769637095886,459.8913783957203,0.0
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0
