Text,X,Y,Z,Floor
전기전자공학부,609.785508228588,343.1939535199831,0.0,2F
컴퓨터시스템연구실,416.5639806008858,334.33471960034404,0.0,2F
전기전자공학부,420.7632041894565,329.8283114387998,0.0,2F
이동네트워크 및 통신연구실,524.2891689056949,353.45557070118264,0.0,2F
전기전자공학부,536.2604527518041,348.9451104942451,0.0,2F
환경생명공학연구실,267.4930256622663,360.6051972541374,0.0,2F
건축사회환경공학부,267.4930256622663,356.09882862474325,0.0,2F
해안유체역학연구실,304.95475854089204,348.9451104942451,0.0,2F
건축사회환경공학부,304.95475854089204,344.4387418648511,0.0,2F
극한환경용 합금설계 연구실,338.37488251371497,360.14043753054614,0.0,2F
신소재공학부,352.3669312805754,355.6299773236084,0.0,2F
컴퓨터구조 및 시스템 소프트웨어 연구실,470.81458280730686,324.54189442205393,0.0,2F
전기전자공학부,494.59945675245734,320.0314342151164,0.0,2F
공과대학행정팀,627.1940440104551,740.7713970021854,0.0,2F
공과대학장,630.6138912582268,733.1519703764919,0.0,2F
공과대학행정팀,627.1940440104551,804.6605699368941,0.0,2F
공과대학장,630.6138912582268,797.1985603332173,0.0,2F
공과대학행정팀,627.1940440104551,719.4726604497051,0.0,2F
공과대학장,630.6138912582268,711.8567126532274,0.0,2F
공과대학행정팀,627.1940440104551,698.0235435979403,0.0,2F
공과대학장,630.6138912582268,690.4041169722466,0.0,2F
공과대학행정팀,627.1940440104551,783.3619124487144,0.0,2F
공과대학장,630.6138912582268,775.899823780737,0.0,2F
공과대학행정팀,627.1940440104551,762.0666547254499,0.0,2F
공과대학장,630.6138912582268,754.450706928972,0.0,2F
공과대학행정팀,627.9736970763047,824.2459831005731,0.0,2F
공과대학장,631.3935443240764,816.7838944325957,0.0,2F
교수연구실,1023.4283431581412,241.48669502188866,0.0,2F
전기전자공학부,1018.6095321798,236.20041636766828,0.0,2F
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0,2F
ELEV실,775.4928173078054,336.65337903877656,0.0,3F
PS실,849.9505943359358,310.6951460731801,0.0,3F
PS실,776.8907532024699,377.06919137175333,0.0,3F
PS실,696.5241847512345,383.75494767449584,0.0,3F
ELEV실,694.9703340562595,327.48354101517316,0.0,3F
PS실,654.3985673908227,311.0043270197379,0.0,3F
PS실,651.1349512005625,569.6694317272264,0.0,3F
PS실,651.1349512005625,504.69067366925646,0.0,3F
도시계획및도시설계연구실,1013.7912744997574,352.5219794425315,0.0,3F
건축공간행태연구실,1057.0041841187203,342.7291542642416,0.0,3F
스마트구조 연구실,980.3711109947849,344.7499587171431,0.0,3F
건축사회환경공학부,978.9727797786175,340.23949851020535,0.0,3F
건축역사연구실,950.8350603092966,342.5715000493239,0.0,3F
건축문화유산연구실,904.9788730006984,342.4179374119496,0.0,3F
건축디자인연구실I,867.5171005899225,344.28110741600824,0.0,3F
에너지저장 및 변환재료 실험실,639.0107569975568,689.1722161083375,0.0,3F
신소재공학부,658.7535871832525,683.8907999085894,0.0,3F
환경재료.촉매연구실,265.62706848981657,370.198128115042,0.0,3F
건축사회환경공학부,266.0944966335448,364.91182969474676,0.0,3F
스마트콘 CNS 솔루션 연구실,482.32104747979656,367.24420678929187,0.0,3F
건축사회환경공학부,492.1129238864822,361.95790836899664,0.0,3F
하천연구실,575.8983117495849,364.29022616531637,0.0,3F
건축사회환경공학부,566.2606107286014,359.0039672771712,0.0,3F
빌딩포렌식 연구실,605.1197655839402,336.46621407374937,0.0,3F
건축사회환경공학부,603.5681286893748,331.17991565345403,0.0,3F
FL03,736.4766407519513,296.90768606653864,0.0,3F
300-1B,202.67144728160855,228.94152295161612,0.0,3F
복도(내부2),198.62983837580586,224.43509502399675,0.0,3F
300-1A,202.5137930666907,287.23373406384,0.0,3F
복도(내부1),198.62983837580586,282.7273456683709,0.0,3F
구조시스템 연구실,337.1339286356111,362.5795711966522,0.0,3F
건축사회환경공학부,335.577468818724,357.29327277635684,0.0,3F
도시에너지환경연구실,373.97405798480656,340.04181799323027,0.0,3F
건축사회환경공학부,376.30641531327655,334.90969495863703,0.0,3F
건축사회환경공학부세미나실 I,741.9172924526247,598.7031473803764,0.0,3F
건축사회환경공학부,753.2608848181758,593.4168884922315,0.0,3F
건축사회환경공학부행정실,745.9554225292117,484.761449395462,0.0,3F
건축사회환경공학부,753.2608848181758,479.47519050731694,0.0,3F
교수연구실,458.0677966193132,241.01926687816004,0.0,3F
건축사회환경공학부,448.4300955983297,235.73781114626203,0.0,3F
교수연구실,311.0157881225365,244.13226557623472,0.0,3F
건축사회환경공학부,301.2239117158508,238.8459869220145,0.0,3F
교수연구실,835.9619848661412,244.13226557623472,0.0,3F
건축사회환경공학부,826.1652064728331,238.8459869220145,0.0,3F
교수연구실,572.7901359738321,251.2786109607244,0.0,3F
건축사회환경공학부,562.9982595671468,246.1513306145282,0.0,3F
교수연구실,424.6490958038966,251.2786109607244,0.0,3F
건축사회환경공학부,414.857179865061,245.99715522882607,0.0,3F
첨단수자원공학연구실,408.1734397019776,359.7846481789261,0.0,3F
건축사회환경공학부,410.5009345759756,354.4983497586307,0.0,3F
교수연구실,685.9559759793141,244.13226557623472,0.0,3F
교수연구실,536.5717287505178,237.6027007988534,0.0,3F
건축사회환경공학부,526.7749503572097,232.31642214463318,0.0,3F
강구조연구실,533.4635529747653,348.43623289105284,0.0,3F
건축사회환경공학부,526.1533468277795,343.30416915468487,0.0,3F
교수연구실,948.5061422778923,244.13226557623472,0.0,3F
교수연구실,648.3352052605145,251.90025402230495,0.0,3F
건축사회환경공학부,638.6975042395304,246.61875875825652,0.0,3F
교수연구실,911.0396260090945,244.13226557623472,0.0,3F
교수연구실,270.13266624228197,253.6109287570441,0.0,3F
건축사회환경공학부,260.34078983559635,248.32947302514592,0.0,3F
교수연구실,1023.4296080351439,244.13226557623472,0.0,3F
교수연구실,384.85500559680094,238.8459869220145,0.0,3F
건축사회환경공학부,375.2173045758174,233.71388365349637,0.0,3F
교수연구실,236.5597900411635,236.20041636766828,0.0,3F
건축사회환경공학부,226.76305118000585,230.91896063577,0.0,3F
교수연구실,349.0991640627428,254.23253228647454,0.0,3F
건축사회환경공학부,339.46146304175915,248.95111608672647,0.0,3F
교수연구실,873.4236782126173,244.13226557623472,0.0,3F
물환경플랜트공학연구실,446.7242437859123,342.3741357895501,0.0,3F
건축사회환경공학부,451.54309429640404,337.08783736925477,0.0,3F
공과대학행정팀,653.6215234468847,780.8894136478563,0.0,3F
공과대학장,658.4403344252262,770.4710317251182,0.0,3F
수문학연구실,308.52929494051466,348.43623289105284,0.0,3F
건축사회환경공학부,301.2239117158508,343.30416915468487,0.0,3F
건축학과 세미나실,650.3590932211296,465.17767681601566,0.0,3F
공과대학행정팀,758.0796957965176,762.2356151353196,0.0,3F
공과대학장,762.8985858391596,751.6630578268791,0.0,3F
교수연구실,800.9867056373872,252.5266804740573,0.0,3F
건축사회환경공학부,791.1900063083799,247.3946167376893,0.0,3F
지반공학연구실,231.11925693694096,348.43623289105284,0.0,3F
건축사회환경공학부,226.30040642644906,343.30416915468487,0.0,3F
건축사회환경공학부 회의실,483.40529576278334,248.17043518497178,0.0,3F
건축사회환경공학부,491.4913203570519,242.88897945307363,0.0,3F
교수연구실,610.251829320308,239.62180536929714,0.0,3F
건축사회환경공학부,600.4599529136221,234.33552671507678,0.0,3F
공과대학행정팀,758.0796957965176,687.1531510700439,0.0,3F
공과대학장,762.8985858391596,676.7395920696275,0.0,3F
건축학과회의실,756.0605516939236,244.13226557623472,0.0,3F
건축학과행정실,718.5988583474483,244.13226557623472,0.0,3F
교수연구실,985.9679146886685,244.13226557623472,0.0,3F
건축사회환경공학부,976.1711362953605,238.8459869220145,0.0,3F
차세대 전지 X 전기화학 촉매 연구실,735.3877672073936,843.6886061378021,0.0,3F
전문연구정보센터,755.5931235501954,838.4023670157321,0.0,3F
미화원휴게실,1059.8022697084607,263.8702333074582,0.0,3F
"(0,0) 원점",-8.965535413444304,-11.61390840088934,0.0,3F
지상 4층 평면도,602.1735924078212,42.238837005559105,0.0,4F
반도체소자 및 회로 연구실,978.196289132978,348.5904280428301,0.0,4F
전기전자공학부,990.6289131716879,343.304169154685,0.0,4F
차세대반도체연구실,1038.5090675052018,348.5904280428301,0.0,4F
전기전자공학부,1043.4820538692456,343.304169154685,0.0,4F
인공지능 정보시스템 공학연구실 WISELAB,364.02425048634774,361.1704081713358,0.0,4F
전기전자공학부,385.00831112339523,357.4394429016475,0.0,4F
FL04,735.2341451199901,293.27597614291494,0.0,4F
